Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
CT1,5,CT1,Dasypus novemcinctus,CT1_5,2021-09-14 23:40:48,2021-09-14,23:40:48,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/7a,7ae2da30-de0d-4307-a716-c5603f3021ff.jpg
PN41,26,PN_41,Dasypus novemcinctus,PN41_26,2021-09-16 03:56:38,2021-09-16,03:56:38,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/8a,8aea8b66-012d-4474-b5d9-6a6e94d2f881.jpg
PN51,27,PN_51,Pecari tajacu,PN51_27,2021-09-16 11:59:24,2021-09-16,11:59:24,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/47,474409a6-f277-419d-aff2-7b4b7f60ab87.jpg
PN51,27,PN_51,Pecari tajacu,PN51_27,2021-09-16 11:59:24,2021-09-16,11:59:24,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/47,474409a6-f277-419d-aff2-7b4b7f60ab87.jpg
PN51,27,PN_51,Pecari tajacu,PN51_27,2021-09-16 11:59:24,2021-09-16,11:59:24,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/47,474409a6-f277-419d-aff2-7b4b7f60ab87.jpg
PN51,27,PN_51,Pecari tajacu,PN51_27,2021-09-16 11:59:24,2021-09-16,11:59:24,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/47,474409a6-f277-419d-aff2-7b4b7f60ab87.jpg
PN51,27,PN_51,Pecari tajacu,PN51_27,2021-09-16 11:59:24,2021-09-16,11:59:24,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/47,474409a6-f277-419d-aff2-7b4b7f60ab87.jpg
PN51,27,PN_51,Pecari tajacu,PN51_27,2021-09-16 11:59:24,2021-09-16,11:59:24,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/47,474409a6-f277-419d-aff2-7b4b7f60ab87.jpg
PN51,27,PN_51,Pecari tajacu,PN51_27,2021-09-16 11:59:24,2021-09-16,11:59:24,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/47,474409a6-f277-419d-aff2-7b4b7f60ab87.jpg
PN51,27,PN_51,Pecari tajacu,PN51_27,2021-09-16 11:59:24,2021-09-16,11:59:24,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/47,474409a6-f277-419d-aff2-7b4b7f60ab87.jpg
PN1,20,PN_1,Sciurus sp,PN1_20,2021-09-16 16:31:13,2021-09-16,16:31:13,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/d9,d9579abd-a8db-4dbb-b465-5a39a98433e5.jpg
CT1,5,CT1,Mazama temama,CT1_5,2021-09-16 20:47:20,2021-09-16,20:47:20,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/04,0402d210-424d-49d9-865c-2eda646d98a5.jpg
PN1,20,PN_1,Didelphis marsupialis,PN1_20,2021-09-16 22:46:08,2021-09-16,22:46:08,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/76,7631e6e7-9cc0-4270-b000-dd0a2934b862.jpg
CT1,5,CT1,Dasypus novemcinctus,CT1_5,2021-09-17 04:55:29,2021-09-17,04:55:29,191681,3194,53.2,2.2,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/c9,c96d7e7c-5409-4c9c-9e4c-32ad07311d89.jpg
PN1,20,PN_1,Sciurus sp,PN1_20,2021-09-19 14:35:59,2021-09-19,14:35:59,252286,4204,70.1,2.9,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/f6,f6b9ab74-a83d-49f4-97e1-582d06099936.jpg
